date,temp_max,temp_min,precipitation,wind_max,humidity_max,cloudcover,city,lat,lon
2018-07-11,29.2,24.4,6.8,12.2,96,78,Miami,25.7617,-80.1918
2018-07-12,30.1,25.4,5.2,11.2,91,69,Miami,25.7617,-80.1918
2018-07-13,31.4,23.9,5.3,11.9,92,37,Miami,25.7617,-80.1918
2018-07-14,29.9,24.3,1.1,10.7,91,59,Miami,25.7617,-80.1918
2018-07-15,30.8,23.9,0.2,12.6,92,53,Miami,25.7617,-80.1918
2018-07-16,30.6,25.0,2.4,12.4,94,67,Miami,25.7617,-80.1918
2018-07-17,30.3,25.4,0.9,15.2,92,47,Miami,25.7617,-80.1918
2018-07-18,31.0,25.5,1.9,13.9,93,63,Miami,25.7617,-80.1918
2018-07-19,31.4,26.6,1.5,16.2,88,54,Miami,25.7617,-80.1918
2018-07-20,31.2,26.5,2.4,18.4,87,95,Miami,25.7617,-80.1918
2018-07-21,33.2,26.8,1.1,20.9,87,93,Miami,25.7617,-80.1918
2018-07-22,30.4,25.0,3.3,17.8,95,79,Miami,25.7617,-80.1918
2018-07-23,30.9,24.4,19.1,18.2,93,97,Miami,25.7617,-80.1918
2018-07-24,29.2,24.5,26.6,20.2,95,97,Miami,25.7617,-80.1918
2018-07-25,31.4,24.6,7.1,14.2,94,75,Miami,25.7617,-80.1918
2018-07-26,30.5,25.8,1.7,13.4,94,76,Miami,25.7617,-80.1918
2018-07-27,29.2,24.8,10.1,11.8,96,99,Miami,25.7617,-80.1918
2018-07-28,28.5,24.3,26.4,13.0,97,99,Miami,25.7617,-80.1918
2018-07-29,27.5,24.6,23.2,18.5,92,100,Miami,25.7617,-80.1918
2018-07-30,28.8,25.5,4.5,19.7,97,87,Miami,25.7617,-80.1918
2018-07-31,30.3,25.8,1.2,20.8,89,94,Miami,25.7617,-80.1918
2018-08-01,29.1,25.1,2.1,20.1,88,87,Miami,25.7617,-80.1918
2018-08-02,29.6,27.0,1.0,20.1,84,43,Miami,25.7617,-80.1918
2018-08-03,30.0,26.1,1.9,19.5,86,40,Miami,25.7617,-80.1918
2018-08-04,29.4,25.8,3.0,18.6,88,52,Miami,25.7617,-80.1918
2018-08-05,29.6,26.1,1.4,18.5,85,45,Miami,25.7617,-80.1918
2018-08-06,30.0,26.1,1.0,21.7,84,27,Miami,25.7617,-80.1918
2018-08-07,29.9,25.4,2.4,16.4,91,40,Miami,25.7617,-80.1918
2018-08-08,30.5,25.4,1.1,12.4,93,67,Miami,25.7617,-80.1918
2018-08-09,30.5,24.4,3.3,13.0,95,32,Miami,25.7617,-80.1918
2018-08-10,31.0,24.1,3.4,9.8,95,42,Miami,25.7617,-80.1918
2018-08-11,29.5,22.7,13.7,8.4,97,54,Miami,25.7617,-80.1918
2018-08-12,28.6,23.7,0.7,17.3,96,34,Miami,25.7617,-80.1918
2018-08-13,29.6,25.9,2.4,15.5,90,23,Miami,25.7617,-80.1918
2018-08-14,29.8,24.9,6.0,12.8,92,78,Miami,25.7617,-80.1918
2018-08-15,30.3,26.7,1.3,16.3,83,49,Miami,25.7617,-80.1918
2018-08-16,30.7,26.8,1.0,21.4,89,20,Miami,25.7617,-80.1918
2018-08-17,30.2,26.7,2.2,19.1,87,37,Miami,25.7617,-80.1918
2018-08-18,28.5,25.1,4.3,25.3,91,77,Miami,25.7617,-80.1918
2018-08-19,27.4,23.9,9.6,19.2,95,98,Miami,25.7617,-80.1918
2018-08-20,29.4,24.2,9.7,16.0,96,75,Miami,25.7617,-80.1918
2018-08-21,30.3,25.0,0.0,15.9,94,49,Miami,25.7617,-80.1918
2018-08-22,29.9,24.8,6.1,9.9,93,44,Miami,25.7617,-80.1918
2018-08-23,30.2,24.6,1.2,11.1,93,65,Miami,25.7617,-80.1918
2018-08-24,29.1,25.1,2.8,14.6,93,92,Miami,25.7617,-80.1918
2018-08-25,28.4,24.6,5.0,20.6,94,96,Miami,25.7617,-80.1918
2018-08-26,30.4,25.4,1.6,18.4,91,31,Miami,25.7617,-80.1918
2018-08-27,29.5,25.6,2.8,15.1,88,71,Miami,25.7617,-80.1918
2018-08-28,27.6,24.7,14.5,16.8,89,89,Miami,25.7617,-80.1918
2018-08-29,29.5,25.4,5.0,18.7,88,96,Miami,25.7617,-80.1918
2018-08-30,28.4,25.0,4.7,19.7,92,91,Miami,25.7617,-80.1918
2018-08-31,28.5,24.1,8.5,22.7,93,83,Miami,25.7617,-80.1918
2018-09-01,28.6,24.3,10.4,26.0,95,96,Miami,25.7617,-80.1918
2018-09-02,27.4,24.9,13.9,28.2,89,88,Miami,25.7617,-80.1918
2018-09-03,27.3,24.1,56.4,38.0,93,98,Miami,25.7617,-80.1918
2018-09-04,29.4,25.6,3.3,23.4,93,79,Miami,25.7617,-80.1918
2018-09-05,28.9,25.7,2.9,19.0,92,61,Miami,25.7617,-80.1918
2018-09-06,28.0,24.5,9.4,18.8,90,66,Miami,25.7617,-80.1918
2018-09-07,27.9,23.4,3.1,14.9,95,85,Miami,25.7617,-80.1918
2018-09-08,27.9,23.0,6.0,14.7,95,94,Miami,25.7617,-80.1918
2018-09-09,29.4,22.7,5.0,16.2,97,67,Miami,25.7617,-80.1918
2018-09-10,29.4,23.2,0.3,13.3,96,86,Miami,25.7617,-80.1918
2018-09-11,29.5,24.5,1.0,10.5,96,88,Miami,25.7617,-80.1918
2018-09-12,29.8,24.5,4.4,8.0,94,76,Miami,25.7617,-80.1918
2018-09-13,29.9,24.6,2.6,11.2,94,34,Miami,25.7617,-80.1918
2018-09-14,29.3,23.7,4.9,15.0,95,36,Miami,25.7617,-80.1918
2018-09-15,30.3,24.4,3.0,13.4,97,20,Miami,25.7617,-80.1918
2018-09-16,30.4,25.2,0.6,15.3,93,37,Miami,25.7617,-80.1918
2018-09-17,29.9,26.5,1.1,18.7,87,47,Miami,25.7617,-80.1918
2018-09-18,29.2,26.1,0.5,13.3,90,42,Miami,25.7617,-80.1918
2018-09-19,29.8,25.2,1.6,14.5,92,53,Miami,25.7617,-80.1918
2018-09-20,30.6,25.7,2.9,10.6,92,29,Miami,25.7617,-80.1918
2018-09-21,29.4,25.6,1.8,14.4,89,38,Miami,25.7617,-80.1918
2018-09-22,30.0,24.8,1.2,12.6,89,56,Miami,25.7617,-80.1918
2018-09-23,30.9,25.8,1.0,17.6,84,59,Miami,25.7617,-80.1918
2018-09-24,31.0,25.4,1.3,18.0,89,34,Miami,25.7617,-80.1918
2018-09-25,30.8,25.4,1.4,12.8,94,67,Miami,25.7617,-80.1918
2018-09-26,31.3,26.8,0.8,17.9,84,24,Miami,25.7617,-80.1918
2018-09-27,31.0,26.5,1.1,20.7,86,66,Miami,25.7617,-80.1918
2018-09-28,31.5,27.0,0.8,21.6,84,24,Miami,25.7617,-80.1918
2018-09-29,30.3,24.4,2.2,24.1,91,41,Miami,25.7617,-80.1918
2018-09-30,30.0,26.8,1.6,28.0,81,26,Miami,25.7617,-80.1918
2018-10-01,31.1,25.5,1.0,23.5,85,27,Miami,25.7617,-80.1918
2018-10-02,28.6,25.6,3.5,23.7,89,51,Miami,25.7617,-80.1918
2018-10-03,30.1,25.9,1.9,22.6,81,29,Miami,25.7617,-80.1918
2018-10-04,27.2,23.9,10.8,20.6,93,83,Miami,25.7617,-80.1918
2018-10-05,29.8,25.7,0.5,21.7,86,21,Miami,25.7617,-80.1918
2018-10-06,29.3,26.2,1.0,25.3,81,53,Miami,25.7617,-80.1918
2018-10-07,29.4,26.0,0.9,26.4,82,92,Miami,25.7617,-80.1918
2018-10-08,28.4,25.3,2.3,31.8,88,97,Miami,25.7617,-80.1918
2018-10-09,29.9,26.9,0.8,26.0,87,98,Miami,25.7617,-80.1918
2018-10-10,29.3,26.5,5.5,23.8,90,96,Miami,25.7617,-80.1918
2018-10-11,29.2,24.9,10.6,19.5,95,99,Miami,25.7617,-80.1918
2018-10-12,29.2,24.2,3.1,14.9,96,69,Miami,25.7617,-80.1918
2018-10-13,29.0,23.9,1.9,9.9,98,52,Miami,25.7617,-80.1918
